ID,Time,Card,Predict Volume,Predict Next Card,Loss/Profit,Total
1,2021-12-22 23:19:03,Player,0,NoTrade,,0
2,2021-12-22 23:19:08,Banker,0,NoTrade,,0
3,2021-12-22 23:19:11,Banker,0,NoTrade,,0
4,2021-12-22 23:19:12,Player,0,NoTrade,,0
5,2021-12-22 23:19:18,Banker,1,Banker,,0
6,2021-12-22 23:19:21,Banker,1,Player,1,1
7,2021-12-22 23:19:25,Banker,2,Banker,-1,0
8,2021-12-22 23:19:31,Banker,0,NoTrade,2,2
9,2021-12-22 23:19:33,Player,1,Banker,,2
10,2021-12-22 23:19:36,Player,2,Banker,-1,1
11,2021-12-22 23:19:38,Player,3,Banker,-2,-1
12,2021-12-22 23:19:40,Banker,0,NoTrade,3,2
13,2021-12-22 23:19:48,Player,2,Banker,,2
14,2021-12-22 23:19:51,Player,3,Banker,-2,0
15,2021-12-22 23:19:52,Banker,1,Player,3,3
16,2021-12-22 23:19:56,Player,1,Player,1,4
17,2021-12-22 23:19:57,Player,1,Banker,1,5
18,2021-12-22 23:20:01,Banker,1,Banker,1,6
19,2021-12-22 23:20:02,Banker,1,Banker,1,7
20,2021-12-22 23:20:07,Player,1,Player,-1,6
21,2021-12-22 23:20:09,Banker,3,Banker,-1,5
22,2021-12-22 23:20:13,Banker,1,Banker,3,8
23,2021-12-22 23:20:14,Banker,1,Banker,1,9
24,2021-12-22 23:20:19,Player,3,Player,-1,8
25,2021-12-22 23:20:22,Banker,4,Player,-3,5
26,2021-12-22 23:20:25,Banker,5,Player,-4,1
27,2021-12-22 23:20:28,Player,3,Banker,5,6
28,2021-12-22 23:20:36,Banker,3,Player,3,9
29,2021-12-22 23:20:38,Banker,4,Player,-3,6
30,2021-12-22 23:20:39,Banker,5,Banker,-4,2
31,2021-12-22 23:20:47,Player,6,Player,-5,-3
32,2021-12-22 23:20:50,Banker,1,Player,-6,-9
33,2021-12-22 23:20:54,Player,1,Banker,1,-8
34,2021-12-22 23:20:58,Banker,1,Banker,1,-7
35,2021-12-22 23:21:01,Banker,1,Banker,1,-6
36,2021-12-22 23:21:02,Banker,7,Banker,1,-5
37,2021-12-22 23:21:07,Banker,5,Player,7,2
38,2021-12-22 23:21:13,Player,3,Player,5,7
39,2021-12-22 23:21:17,Banker,5,Player,-3,4
40,2021-12-22 23:21:22,Player,1,Player,5,9
41,2021-12-22 23:21:23,Player,1,Player,1,10
42,2021-12-22 23:21:26,Banker,3,Banker,-1,9
43,2021-12-22 23:21:30,Player,5,Player,-3,6
44,2021-12-22 23:21:33,Player,3,Banker,5,11
45,2021-12-22 23:21:36,Player,5,Player,-3,8
46,2021-12-22 23:21:40,Player,3,Banker,5,13
47,2021-12-22 23:21:44,Banker,1,Banker,3,16
48,2021-12-22 23:21:49,Player,3,Player,-1,15
49,2021-12-22 23:21:51,Player,1,Player,3,18
50,2021-12-22 23:21:54,Banker,3,Banker,-1,17
51,2021-12-22 23:21:59,Banker,1,Player,3,20
52,2021-12-22 23:22:02,Player,3,Banker,1,21
53,2021-12-22 23:22:06,Banker,1,Player,3,24
54,2021-12-22 23:22:09,Player,1,Banker,1,25
55,2021-12-22 23:22:13,Player,3,Player,-1,24
56,2021-12-22 23:22:15,Banker,1,Player,-3,21
57,2021-12-22 23:22:16,Player,1,Player,1,22
